codigo_falta,descripción,tipo_formato,nivel_gravedad,año_infracción,mes_infracción,cant_impuesta,importe_impuesto_soles,reincidencia_impuesta_soles
G14,"Tener la puerta, capot o maletera del vehículo abierta, cuando el vehículo está en marcha.",Papeleta de Tránsito,G,2025,1,1,428,0
M02,"Conducir con presencia de alcohol en la sangre en proporción mayor a lo previsto en el Código Penal, bajo los efectos de estupefacientes, narcóticos y/o alucinógenos comprobada con el exámen respectivo o por negarse al mismo.",Papeleta de Tránsito,M,2025,1,116,310300,10700
L07,Utilizar la bocina para llamar la atención en forma innecesaria,Papeleta de Tránsito,L,2025,1,5489,1174638,188312
G72a,"Utilizar,  mientras  se  conduce  el  vehículo, cualquier dispositivo electrónico que reproduzca imágenes o videos con fines de entretenimiento visual.",Papeleta de Tránsito,G,2025,2,1,428,0
G10,Incumplir las disposiciones sobre el uso de las vías de tránsito rápido y/o de acceso restringido.,Papeleta de Tránsito,G,2025,1,2029,868412,63772
G29,Circular en forma desordenada o haciendo maniobras peligrosas,Papeleta de Tránsito,G,2025,1,1,428,0
M28,"Conducir un vehículo sin contar con la póliza del Seguro Obligatorio de Accidentes de Tránsito, o Certificado de Accidentes de Tránsito, cuando corresponda, o éstos no se encuentre vigente.",Papeleta de Tránsito,M,2025,1,2,1284,0
G06,No ubicar el vehículo con la debida anticipación en el carril donde va efectuar el giro o volteo.,Papeleta de Tránsito,G,2025,2,1,428,0
G07,No conducir por el carril de extremo derecho de la calzada un vehículo del servicio de transporte público de pasajeros o de carga o de desplazamiento lento o un vehículo automotor menor.,Papeleta Electrónica,G,2025,1,669,286332,0
M03,Conducir un vehículo automotor sin tener licencia de conducir o permiso provisional.,Papeleta de Tránsito,M,2025,1,2,5350,0
M02,"Conducir con presencia de alcohol en la sangre en proporción mayor a lo previsto en el Código Penal, bajo los efectos de estupefacientes, narcóticos y/o alucinógenos comprobada con el exámen respectivo o por negarse al mismo.",Papeleta de Tránsito,M,2025,1,15,40125,2675
G02,"No hacer señales ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo",Papeleta de Tránsito,G,2025,3,458,196024,3852
G40,Estacionar el vehículo en zonas prohibidas o rigidas señalizadas o sin las señales de seguridad reglamentarias en caso de emergencia.,Video Papeleta,G,2025,1,1,428,0
M35,"Voltear en U sobre la misma calzada, en las curvas, puentes, pasos a desnivel, vías expresas, túneles, estructuras elevadas, cima de cuesta, cruce ferroviario a nivel.",Papeleta de Tránsito,M,2025,3,28,17976,0
L07,Utilizar la bocina para llamar la atención en forma innecesaria,Papeleta de Tránsito,L,2025,1,6,1284,428
G11,"Circular, estacionar o detenerse sobre una isla de encauzamiento, canalizadora, de refugio o divisoria del tránsito, marcas delimitadoras de carriles, separadores centrales, bermas, aceras, áreas verdes, pasos peatonales, jardines o rampas para minusválidos.",Papeleta de Tránsito,G,2025,2,35,14980,428
G43,"Estacionar a una distancia menor de cinco  (5) metros de una bocacalle, de las entradas de hospitales o centros de asistencia médica, cuerpos de bomberos o de hidrantes de servicio contra incendios, salvo los vehículos relacionados a la función del local.",Video Papeleta,G,2025,1,4,1712,0
G08,No utilizar el carril derecho para recoger o dejar pasajeros o carga.,Papeleta de Tránsito,G,2025,1,39,16692,2140
M16,Circular en sentido contrario al tránsito autorizado,Papeleta de Tránsito,M,2025,1,4,2568,0
M21,Estacionar interrumpiendo totalmente el tránsito,Papeleta de Tránsito,M,2025,1,3,1926,0
M26,Conducir un vehículo especial que no se ajuste a las exigencias reglamentarias sin la autorización correspondiente.,Papeleta de Tránsito,M,2025,1,1,642,0
M44,Obstruir la ciclovía,Video Papeleta,M,2025,1,16,10272,1926
G60,"Circular con placas ilegibles o sin iluminación o que tengan adherido algún material, que impida su lectura a través de medios electrónicos, computarizados u otro tipo de mecanismos tecnológicos que permitan verificar la comisión de las infracciones de tránsito. ",Papeleta de Tránsito,G,2025,3,4,1712,0
G30,Circular  transportando  personas en la parte exterior de la carrocería o permitir que sobresalga parte del cuerpo de la(s) personas(s) transportada(s) en el vehículo.,Papeleta de Tránsito,G,2025,1,2,856,0
G46,"Estacionar en zonas no permitidas por la autoridad competente, a menos de diez (10) metros de un cruce peatonal  o de un paradero de buses, así como en el propio sitio determinado para la parada del bus.",Video Papeleta,G,2025,1,11,4708,0
M05,Conducir un vehículo con Licencia de Conducir cuya clase o categoría no corresponde al vehículo que conduce.,Papeleta de Tránsito,M,2025,1,3,8025,2675
G02,"No hacer señales ni tomar las precauciones para girar, voltear en U, pasar de un carril de la calzada a otro o detener el vehículo",Papeleta de Tránsito,G,2025,1,13,5564,0
L07,Utilizar la bocina para llamar la atención en forma innecesaria,Papeleta de Tránsito,L,2025,1,22,4708,1284
M24,Circular  sin  placas  de  rodaje  o  sin  el  permiso correspondiente,Papeleta de Tránsito,M,2025,2,3,1926,0
M40,Conducir un vehiculo con la licencia de conducir vencida,Papeleta de Tránsito,M,2025,2,118,215805,0
G18b,Conducir un vehículo usando algún dispositivo móvil  u  objeto  portátil  que  implique  dejar  de conducir con ambas manos sobre el volante de dirección.,Papeleta de Tránsito,G,2025,1,138,59064,428
G57,"No respetar las señales que rigen el tránsito, cuyo incumplimiento no se encuentre tipificado en otra infracción. ",Papeleta de Tránsito,G,2025,1,1643,703204,126688
M05,Conducir un vehículo con Licencia de Conducir cuya clase o categoría no corresponde al vehículo que conduce.,Papeleta de Tránsito,M,2025,1,1,2675,0
G17,"Conducir vehículos que tengan lunas o vidrios polarizados o acondicionados de modo tal que impidan la visibilidad del interior del vehículo, sin la autorización correspondiente.",Papeleta de Tránsito,G,2025,2,1,428,0
M05,Conducir un vehículo con Licencia de Conducir cuya clase o categoría no corresponde al vehículo que conduce.,Papeleta de Tránsito,M,2025,2,2,5350,0
G57,"No respetar las señales que rigen el tránsito, cuyo incumplimiento no se encuentre tipificado en otra infracción. ",Papeleta de Tránsito,G,2025,2,1,428,0
M04,"Conducir vehículos estando la licencia de conducir retenida, suspendida o estando inhabilitado para obtener licencia de conducir.",Papeleta de Tránsito,M,2025,2,10,53500,37450
M02,"Conducir con presencia de alcohol en la sangre en proporción mayor a lo previsto en el Código Penal, bajo los efectos de estupefacientes, narcóticos y/o alucinógenos comprobada con el exámen respectivo o por negarse al mismo.",Papeleta de Tránsito,M,2025,3,3,8025,0
G10,Incumplir las disposiciones sobre el uso de las vías de tránsito rápido y/o de acceso restringido.,Papeleta de Tránsito,G,2025,1,7,2996,0
L02,Estacionar un vehículo en zonas de parqueo destinadas a vehículos que transportan a personas con discapacidad  o  conducidos  por éstos.,Papeleta de Tránsito,L,2025,1,2,535,0
L07,Utilizar la bocina para llamar la atención en forma innecesaria,Papeleta de Tránsito,L,2025,1,1,214,0
G08,No utilizar el carril derecho para recoger o dejar pasajeros o carga.,Papeleta Electrónica,G,2025,1,2,856,0
G08,No utilizar el carril derecho para recoger o dejar pasajeros o carga.,Papeleta de Tránsito,G,2025,3,2,856,0
G19,"Conducir un vehículo de la categoría M o N que carezca de vidrios de seguridad reglamentarios o que su parabrisas se encuentre deteriorado, trizado o con objetos impresos, calcomanías, carteles u otros elementos en el área de barrido del limpiaparabrisas y que impidan la visibilidad del conductor o un vehículo de la categoría L5 que contando con parabrisas, micas o similares, tengan objetos impresos, calcomanías, carteles u otros elementos que impidan la visibilidad del conductor. ",Papeleta de Tránsito,G,2025,2,51,21828,3852
M40,Conducir un vehiculo con la licencia de conducir vencida,Papeleta de Tránsito,M,2025,2,8,25190,0
G63,Utilizar señales audibles o visibles iguales o similares a las que utilizan los vehículos de emergencia o vehículos oficiales.,Papeleta de Tránsito,G,2025,3,1,428,0
G47,"Estacionar en lugar que afecte la operatividad del servicio de transporte  público de pasajeros o carga o que afecte la seguridad, visibilidad o fluidez del tránsito o impida observar la señalización.",Papeleta de Tránsito,G,2025,2,1,428,0
G56,"Recoger o dejar pasajeros fuera de los paraderos de ruta autorizados, cuando existan.",Papeleta de Tránsito,G,2025,2,318,136104,47080
G72a,"Utilizar,  mientras  se  conduce  el  vehículo, cualquier dispositivo electrónico que reproduzca imágenes o videos con fines de entretenimiento visual.",Papeleta de Tránsito,G,2025,1,1,428,0
G01,Adelantar o sobrepasar en forma indebida a otro vehículo,Papeleta de Tránsito,G,2025,2,5,2140,0
G46,"Estacionar en zonas no permitidas por la autoridad competente, a menos de diez (10) metros de un cruce peatonal  o de un paradero de buses, así como en el propio sitio determinado para la parada del bus.",Video Papeleta,G,2025,1,1,428,0
G18b,Conducir un vehículo usando algún dispositivo móvil  u  objeto  portátil  que  implique  dejar  de conducir con ambas manos sobre el volante de dirección.,Papeleta de Tránsito,G,2025,1,1,428,0
M35,"Voltear en U sobre la misma calzada, en las curvas, puentes, pasos a desnivel, vías expresas, túneles, estructuras elevadas, cima de cuesta, cruce ferroviario a nivel.",Papeleta de Tránsito,M,2025,2,2,1284,0
G15,"No utilizar las luces intermitentes de emergencia de un vehículo cuando se detiene por razones de fuerza mayor, obstaculizando el tránsito, o no colocar los dispositivos de seguridad reglamentarios cuando el vehículo queda inmovilizado en la vía pública.",Papeleta de Tránsito,G,2025,1,16,6848,428
G56,"Recoger o dejar pasajeros fuera de los paraderos de ruta autorizados, cuando existan.",Papeleta de Tránsito,G,2025,1,2,856,428
G33,"Circular transportando cargas que sobrepasen las dimensiones de la carrocería o que se encuentren ubicadas fuera de la misma; o transportar materiales sueltos, fluidos u otros sin adoptar las medidas de seguridad que impidan su caída a la vía.",Papeleta de Tránsito,G,2025,2,1,428,0
G11,"Circular, estacionar o detenerse sobre una isla de encauzamiento, canalizadora, de refugio o divisoria del tránsito, marcas delimitadoras de carriles, separadores centrales, bermas, aceras, áreas verdes, pasos peatonales, jardines o rampas para minusválidos.",Video Papeleta,G,2025,1,9,3852,1712
G28,"En vehículos de las categorías M y N, no llevar puesto el cinturón de seguridad y/o permitir que los ocupantes del vehículo no lo utilicen, en los casos en que, de acuerdo a las normas vigentes, exista tal obligación. En vehículos automotores de la categoría L5 no contar con cinturones de seguridad para los asientos de los pasajeros o no tener uno o más soportes  fijados  a  su  estructura  que  permitan a  los  pasajeros  asirse  de  ellos  mientras  son transportados",Papeleta de Tránsito,G,2025,2,2,856,428
M04,"Conducir vehículos estando la licencia de conducir retenida, suspendida o estando inhabilitado para obtener licencia de conducir.",Papeleta de Tránsito,M,2025,2,1,5350,5350
M03,Conducir un vehículo automotor sin tener licencia de conducir o permiso provisional.,Papeleta de Tránsito,M,2025,1,236,631300,0
G40,Estacionar el vehículo en zonas prohibidas o rigidas señalizadas o sin las señales de seguridad reglamentarias en caso de emergencia.,Video Papeleta,G,2025,1,4,1712,1284
G17,"Conducir vehículos que tengan lunas o vidrios polarizados o acondicionados de modo tal que impidan la visibilidad del interior del vehículo, sin la autorización correspondiente.",Papeleta de Tránsito,G,2025,2,1,428,0
L06,"Arrojar, depositar o abandonar objetos o sustancias en la vía pública que dificulten la circulación.",Papeleta de Tránsito,L,2025,1,277,59278,2996
L04,"Abrir o dejar abierta la puerta de un vehículo estacionado, dificultando la circulación vehicular.",Papeleta de Tránsito,L,2025,1,768,164352,47080
M04,"Conducir vehículos estando la licencia de conducir retenida, suspendida o estando inhabilitado para obtener licencia de conducir.",Papeleta de Tránsito,M,2025,1,27,144450,42800
G09,"Retroceder, salvo casos indispensables para mantener libre la circulación, para incorporarse a ella o para estacionar el vehículo.",Papeleta de Tránsito,G,2025,3,4,1712,0
G28,"En vehículos de las categorías M y N, no llevar puesto el cinturón de seguridad y/o permitir que los ocupantes del vehículo no lo utilicen, en los casos en que, de acuerdo a las normas vigentes, exista tal obligación. En vehículos automotores de la categoría L5 no contar con cinturones de seguridad para los asientos de los pasajeros o no tener uno o más soportes  fijados  a  su  estructura  que  permitan a  los  pasajeros  asirse  de  ellos  mientras  son transportados",Papeleta de Tránsito,G,2025,1,20,8560,1284
G10,Incumplir las disposiciones sobre el uso de las vías de tránsito rápido y/o de acceso restringido.,Papeleta de Tránsito,G,2025,1,343,146804,7704
M02,"Conducir con presencia de alcohol en la sangre en proporción mayor a lo previsto en el Código Penal, bajo los efectos de estupefacientes, narcóticos y/o alucinógenos comprobada con el exámen respectivo o por negarse al mismo.",Papeleta de Tránsito,M,2025,2,5,13375,0
G15,"No utilizar las luces intermitentes de emergencia de un vehículo cuando se detiene por razones de fuerza mayor, obstaculizando el tránsito, o no colocar los dispositivos de seguridad reglamentarios cuando el vehículo queda inmovilizado en la vía pública.",Papeleta de Tránsito,G,2025,3,11,4708,0
G32,Circular por la ciclovía,Papeleta de Tránsito,G,2025,2,1,428,0
G07,No conducir por el carril de extremo derecho de la calzada un vehículo del servicio de transporte público de pasajeros o de carga o de desplazamiento lento o un vehículo automotor menor.,Papeleta de Tránsito,G,2025,1,308,131824,3852
G11,"Circular, estacionar o detenerse sobre una isla de encauzamiento, canalizadora, de refugio o divisoria del tránsito, marcas delimitadoras de carriles, separadores centrales, bermas, aceras, áreas verdes, pasos peatonales, jardines o rampas para minusválidos.",Papeleta Electrónica,G,2025,1,824,352672,0
G29,Circular en forma desordenada o haciendo maniobras peligrosas,Papeleta de Tránsito,G,2025,3,10,4280,0
G52,Estacionar un vehículo en vías con pendientes pronunciadas sin asegurar su inmovilización,Papeleta de Tránsito,G,2025,1,1,428,0
M16,Circular en sentido contrario al tránsito autorizado,Papeleta de Tránsito,M,2025,2,82,52644,642
G11,"Circular, estacionar o detenerse sobre una isla de encauzamiento, canalizadora, de refugio o divisoria del tránsito, marcas delimitadoras de carriles, separadores centrales, bermas, aceras, áreas verdes, pasos peatonales, jardines o rampas para minusválidos.",Papeleta de Tránsito,G,2025,2,271,115988,3424
M27,Conducir un vehículo que no cuente con el certificado de aprobación de inspección técnica vehicular. Esta infracción no aplica para el caso de los vehiculos L5 de la clasificación vehicular,Papeleta de Tránsito,M,2025,2,92,246100,5350
M02,"Conducir con presencia de alcohol en la sangre en proporción mayor a lo previsto en el Código Penal, bajo los efectos de estupefacientes, narcóticos y/o alucinógenos comprobada con el exámen respectivo o por negarse al mismo.",Papeleta de Tránsito,M,2025,1,2,5350,0
G33,"Circular transportando cargas que sobrepasen las dimensiones de la carrocería o que se encuentren ubicadas fuera de la misma; o transportar materiales sueltos, fluidos u otros sin adoptar las medidas de seguridad que impidan su caída a la vía.",Papeleta de Tránsito,G,2025,2,3,1284,0
M27,Conducir un vehículo que no cuente con el certificado de aprobación de inspección técnica vehicular. Esta infracción no aplica para el caso de los vehiculos L5 de la clasificación vehicular,Papeleta de Tránsito,M,2025,1,1,2675,0
